"연도","일반(톤)","중량(톤)","석탄류(톤)","크링카(톤)","광재(톤)","기타중량품(톤)","페로니켈(톤)","JR컨테이너(톤)"
"1996","5822301","","","","","","",""
"1997","6350040","","","","","","",""
"1998","6916406","","","","","","",""
"1999","7648361","","","","","","",""
"2000","8715518","","","","","","",""
"2001","7773795","","","","","","",""
"2002","8154003","","","","","","",""
"2003","8753001","","","","","","",""
"2004","8925206","","","","","","",""
"2005","10034028","956807","","","","","",""
"2006","11252745","1069251","","","","","",""
"2007","11728968","1126755","","","","","",""
"2008","12443420","1185355","","","","","",""
"2009","8511304","799617","","","","","",""
"2010","9947590","934111","","","","","",""
"2011","11678460","1099956","","","","","",""
"2012","12109946","1138665","","","","","",""
"2013","11852929","1096654","","","","","",""
"2014","10386279","944693","","","","","",""
"2015","9341755","284424","83200","24200","25350","53300","28892","150"
"2016","8026752","245571","82050","20450","20450","58250","46004",""
"2017","7817933","257416","60500","34550","1550","246500","47058",""
"2018","8680582","760247","343568","14550","","27300","48051",""
